suid,id,ref_ffvl,nom,sous_nom,cp,ville,site_type,site_sous_type,pratiques,lat,lon,alt,acces,trajet_parcking,trajet_attero_deco,handi,orientation.x,vent_favo,vent_defavo,conditions_ideales,balise,webcam,signaletique,description.x,restrictions,reg_aerienne,dangers,numero_cross,date_modification,latitude,longitude,altitude,geometry,coordinates,@id,name,free_flying:hanggliding,free_flying:paragliding,free_flying:site,leisure,sport,surface,type,website,landuse,note,access,ele,free_flying:official,free_flying:site_orientation,lit,network,operator,ref,source,free_flying:tandem,free_flying:network,natural,alt_name,wheelchair,building,building:levels,free_flying:retail,free_flying:school,club,phone,free_flying:rigid,area,aircraft,contact:website,source:date,free_flying:guest-guidelines,free_flying:no-flight-time,description.y,intermittent,inscription,fixme,crop,free_flying:ground_handling,name:en,free_flying,free_flying:orientation,free_flying:club,orientation.y,covered,fee,indoor,source:website,aeroway,mapillary,aircraft:type,aircraft:type2,length,width,abandoned:leisure,official_name,local_ref,free_flying:shop,shop,opening_hours:signed,description:it,operator:website,tourism,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,fixme2,board_type,check_date,information,communication:radio,frequency,height,man_made,tower:construction,tower:type,contact:webcam,display:digital,monitoring:weather,recording:automated,recording:remote,weather:anemometer,weather:thermometer,weather:wind_vane,amenity,email,fax,free_flying:repair,ref:FR:SIRET,contact:facebook
1027,15009,15D009A,PUY DE LA TOURTE OUEST,PUY DE LA TOURTE OUEST,15380,LE FALGOUX,vol,Décollage,parapente;delta;0;0;0,45.1258,2.6742,1648,"Carte IGN 2435 O et 2435 E.
Depuis le Pas de Peyrol en direction du Puy de la Tourte (10 mn).",0,0,0,NA,O;,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=177,NA,0,Décoller des prairies orientées O qui longent la crête.,NA,NA,.,NA,2020-01-24 18:07:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,15009,15A009A,PUY DE LA TOURTE OUEST,NA,15380,LE FALGOUX,vol,Atterrissage,parapente,45.1314,2.65556,1102,"Du Pas de Peyrol en voiture par la D680 puis la D12 direction Le Falgoux. Au Pont des Eaux, pré à droite de la route après le parking goudronné.",0,0,0,"E,O",E;O;,NA,NA,NA,NA,NA,"Terrain déconseillé aux débutants car pente assez forte, de plus un câble de téléski se trouve à l'entrée (côté Sud).",NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,15009,15A009B,PUY DE LA TOURTE OUEST,NA,15380,LE FALGOUX,vol,Atterrissage,parapente;delta,45.1347,2.65028,1009,Par la callée du Fallgoux en amont du bourg de La Chaze.,0,0,0,"E,O",E;O;,NA,NA,NA,NA,NA,"Terrain interdit de mi juin à mi juillet et de mi août à mi septembre (fourrage). 
Site sensible. Se renseigner impérativement avant tout vol.",NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,15010,15D010A,PUY DE LA TOURTE NORD-EST,PUY DE LA TOURTE NORD-EST,15400,LE CLAUX,vol,Décollage,parapente;delta,45.1258,2.67417,1649,"Carte IGN 2435 O et 2435 E.
Depuis le Pas de Peyrol par un sentier 20 minutes de marche.",0,0,0,NE,NE;,NA,NA,NA,NA,NA,"A partir du milieu de l'après midi et sans vent météo, le décollage se trouve fréquemment sous le vent de la brise montante de la face O. Par vent d'E fort, en fin de journée, il peut se produire un mouvement ondulatoire désorganisé et turbulent.",NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,15010,15A010A,PUY DE LA TOURTE NORD-EST,NA,15400,LE CLAUX,vol,Atterrissage,parapente;delta,45.1383,2.69472,1053,"Du Pas de Peyrol direction le Claux, le terrain est en bordure de la D62 après le hameau de la Maurinie.",0,0,0,"N,S",N;S;,NA,NA,NA,NA,0,"Une manche à air indique si l'atterro est possible ou non. En absence de manche à air et si l'herbe est haute, l'atterro peut être interdit. Contacter le gestionnaire du site. Essayez de poser en bordure NO du terrain (côté chemin et ruisseau) au plus près de la sortie en face du petit pont et s'il y a déjà un peu d'herbe, pliez à l'extérieur du terrain, sur l'aire aménagée en bordure du chemin.",NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,15011,15D011A,PUY MARY - SUD,COL DU REDONDET,15590,MANDAILLES - ST JULIEN,vol,Décollage,parapente;delta;delta,45.1056,2.66083,1503,"D17 en direction Aurillac à 1,75 km du Pas de Peyrol. Décollage en bordure de route.

CARTE IGN Top25 MONTS DU CANTAL",0,0,0,NA,S,NA,NA,NA,NA,0,Redondet ; Turbulent par Vent Ouest. Décollage situé dans un col : effet Venturi.,NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,15011,15A011A,PUY MARY - SUD,NA,15590,MANDAILLES - ST JULIEN,vol,Atterrissage,parapente;delta,45.0167,2.5833,933,"En bordure de la D17, à environ 4 km du Redondet en direction d'Aurillac, à proximité d'un buron en ruine

CARTE IGN Top 25 MONTS DU CANTAL",0,0,0,"N,S",N;S;,NA,NA,NA,NA,NA,"Ne pas se poser dans l'herbe haute en période de foin.

Parapentes uniquement - terrain en légère pente descendante et accidentée.",NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,81005,81A005A,SOREZE,Parking Abbaye,81540,DURFORT,vol,Atterrissage,parapente;0;0;0;0,43.4498,2.0664,276,NA,0,0,0,NO,NO,NA,NA,NA,NA,0,NA,NA,NA,"Ligne téléphonique entrée terrain
terrain relativement court en bord de parking
",NA,2020-03-23 12:02:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,26019,26D019A,MUSAN,MUSAN,26190,ORIOL EN ROYANS,vol,Décollage,parapente;0;0;0;0,44.9897,5.2356,1070,"Par la route forestière qui monte au relais Télécom de Musan.
Stationnement au bord de la route",0,0,0,E,NE;E;SE,O;NO,Pas de vent météo ; conditions thermiques matinales,http://www.balisemeteo.com/balise.php?idBalise=54,NA,0,"Décollage court très pentu dans une pente boisée peu adaptée aux voiles actuelles allongées.
Etaler la voile sur la route
",NA,NA,"Décollage étroit, très court et pentu
Dangereux par vent météo Nord ou Sud.",NA,2014-08-18 09:54:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,26019,26A019A,MUSAN,NA,26190,ORIOL EN ROYANS,vol,Atterrissage,parapente;0;0;0;0,44.9871,5.2499,491,Hameau de Tamée,0,0,0,NA,NA,NA,NA,NA,NA,0,Pas d'atterrissage officiel,demander l'autorisation avant d'atterrir,NA,champs avec clôtures,NA,2014-08-18 09:56:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038,38015,38D015A,L'ALEVOUX,L'ALEVOUX,38160,ST PIERRE DE CHERENNES,vol,Décollage,parapente;delta,45.1221,5.3793,841,"Accès par la route qui monte au plateau du Faz;
Se garer à l'épingle de la route goudronnée ; suivre à pied le chemin horizontal sur 680m pour accéder sur la gauche à la piste qui débouche en quelques mètres au décollage.",8,0,1,NO,N;SO;O;NO,NE;E;SE;S,Nord-Ouest,http://www.balisemeteo.com/balise.php?idBalise=54,NA,1,Site fortement déconseillé par vent de Sud et d'Est. Rotation très rapide par la route de Faz. Bien respecter le parking.,"Pas d'atterrissage officiel à proximité
TMA Lyon 4 : altitude maximum autorisée = FL65 (environ ~1980 m)",TMA Lyon 4 : altitude maximum autorisée = FL65 (environ ~1980 m),Ne pas trop s'approcher de la grande cascade du RUZAND qui est sous le vent par tendance Nord.,NA,2020-03-31 10:05:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,38015,38A015A,L'ALEVOUX,NA,38160,ST PIERRE DE CHERENNES,vol,Atterrissage,parapente;delta,45.1228,5.362,359,"Pas d'autorisation (tolérance très précaire)
Stationner sur la place en face de la mairie ;
Champ derrière le stade de foot, le tennis et le stade de boules
",1,0,1,NA,N;NO,E;SE;S,Léger Nord,http://www.balisemeteo.com/balise.php?idBalise=54,NA,0,"Pas d'autorisation (tolérance très précaire)
Champ entouré partiellement de noyeraies","Pas d'autorisation (tolérance très précaire)
Ne pas survoler le lotissement en approche",TMA Lyon 4 : Altitude max = FL65 (1980 m environ),Terrain sujet à des déclenchements thermiques très turbulents en approche finale.,NA,2020-03-31 09:55:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,74011,74D011A,LES CARROZ D\'ARACHES,LA KEDEUSAZ,74300,LES CARROZ - ARACHES LA FRASSE,vol,Décollage,parapente;delta;0;0;0,46.0314,6.6706,1800,"Depuis les Carroz, prendre la route de Flaine puis le chemin qui mène au sommet du telecabine, puis suivre la crête (et le téléski) sur 300 m. 
Attention en hiver car accès par les pistes de ski (télécabine + teleski). Décollage toléré en hiver sur piste \""Rhodos\"", en face de l\'arrivée du télésiège de \""Plein Soleil\"".",0,0,0,NO,N;O;NO,SE;S;SO,NA,https://www.openwindmap.org/PP145,http://m.webcam-hd.com/lescarroz,1,"Pour se rendre sur le site, essayez de monter à pied depuis la route de Flaine ou depuis le télécabine ouvert en été.
Ligne très haute tension 225.000 V  dans la combe à droite du décollage, (proximité du pylone 30 de la ligne cornier pressy se situant à la pointe de cupoire ) 
Conditions favorables par vent de Nord à Ouest et par brises thermiques.",NA,NA,"Ligne très haute tension 225.000 V  dans la combe à droite du décollage, (proximité du pylone 30 de la ligne cornier pressy se situant à la pointe de cupoire )",NA,2015-08-27 10:56:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,74011,74A011A,LES CARROZ D'ARACHES,araches,74300,LES CARROZ - ARACHES LA FRASSE,vol,Atterrissage,parapente;delta;0;0;0,46.0389,6.6306,960,"A Araches, à la sortie du village en direction des Carroz. Panneau indicateur et parking",0,0,0,TOUTES,N;NE;E;SE;S;SO;O;NO;,NA,NA,NA,NA,0,"S'écarter de la falaise (turbulences). Turbulent l'après midi. Terrain très vaste mais se poser le long du marais, le plus près possible de l'Aire de pliage. Remonter sur la route des Carroz par le sentier qui traverse le marais et non par le lotissement (accès privé).",NA,NA,marrai à proximité de latterrissage,NA,2016-07-11 12:08:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046,26020,26D020A,PRE VALET LA SARNA,ROCHER DE COURBA,26420,LA CHAPELLE EN VERCORS,vol,Décollage,parapente;delta;0;0;0,44.9667,5.4167,885,"Carte Top 25 Villard de Lans, 3236 OT.",0,0,0,O,O;,NA,NA,NA,NA,NA,Site déconseillé par fort vent météo de Sud ou de Nord. Respecter les périodes de foins.Plus d'atterrissage officiel.,NA,NA,Néant,NA,2017-06-22 15:19:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048,15012,15D012A,PUY MARY - NORD EST,PAS DE PEYROL,15400,LE CLAUX,vol,Décollage,parapente;delta;0;0;0,45.2667,2.7,871,"Carte IGN : 2435 Ouest - 2435 Est
Départementale D 12, vallée du Mars - la D 680 vallée du Claux - la D 17 vallée de Mandailles.",0,0,0,NA,NE,NA,NA,NA,NA,0,"Sans ascendance, la transition vers l'atterro de la Maurinie ou du Buron d'Eylac nécessite une bonne finesse. Montage des ailes sur arête, attention au vent tournant - venturi dans le col.
Aires de pliage à respecter. Attention aux troupeaux. Consulter les panneaux d'informations. Pour l'accueil des groupes, contacter le gestionnaire.",NA,NA,.,NA,2020-03-23 22:36:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,19009,19A009,PUY DE LA MONEDIERE,NA,19260,VEIX,vol,Atterrissage,parapente;delta;cerf-volant,45.4855,1.8396,919,Carte IGN série Bleu : CORREZE 2333 O,1,15,1,NA,N;NE;NO,E;SE;S;SO;O,Nord à Nord ouest,https://balisemeteo.com,NA,1,Site Ecole,Pas de restriction,"Respectez la réglementation aérienne, Zone R 68B
Pour savoir si elle est active rendez vous sur le serveur vocal DIRCAM 0800245466
","Zone aérienne réglementée R68 B
Ne pas survoler ou contourner, lantenne relais.
Déconseillé par vent dOUEST
",NA,2021-06-30 10:21:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,19010,19P010,ESPACE VENT,NA,19390,CHAUMEIL,vol,Plateforme de treuil,parapente;delta;cerf-volant;0;0,45.4181,1.8486,602,Carte IGN série Bleu : CORREZE 2333 O,0,0,0,NA,SE;S;SO,N;NE,Toutes conditions de SUD,NA,NA,1,"Site Ecole, zone d'atterrissage et de pratique (gonflage, cerf volant) sur plateau sommital du cirque de Freysseline.
Site situé en zone natura 2000,sensible","Zone natura 2000, et pastorale.
Ne pas stationner en dehors des parkings.",NA,"Présence d'aéromodélisme, multi-activités.",NA,2015-01-13 07:53:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1051,15012,15A012B,PUY MARY - NORD EST,NA,15400,LE CLAUX,vol,Atterrissage,parapente;delta;delta,45.1078,2.68944,1484,"Du pas de Peyrol direction le Claux, le terrain est en bordure O de la D62 après le hameau de la Maurinie.",0,0,0,E,E;,NA,NA,NA,NA,NA,"Atterrissage facile n'hésitez pas à passer à l'auberge du Buron d'Eylac par courtoisie (propriétaire du terrain). Quelquefois, il peut y avoir une clôture électrifiée sur le terrain - Ouvrez l'oeil !",NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1052,47004,47D004A,NICOLE,PECH DE BERRE SUD,47190,NICOLE,vol,Décollage,parapente;delta,44.3244,0.3472,82,NA,0,0,0,SO,SO,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=165,NA,0,"Attention décollage ""falaise"". Ligne électrique. Faire attention pendant la période de chasse à la Palombe au mois d'octobre.",NA,NA,"Le terrain d'atterrissage est le stade de foot entre la voie ferré et la route.
Vérifier que personne ne l'utilise pour voler. 
Faire attention de ne pas se laisser dégrader trop en dessous du décollage pour être sur de rejoindre l'atterrissage.",NA,2020-03-30 11:38:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1053,47004,47A004A,NICOLE,NA,47190,NICOLE,vol,Atterrissage,parapente;delta,44.3212,0.342,45,NA,0,0,0,S,S,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=165,NA,0,NA,NA,NA,.,NA,2020-03-30 11:39:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1054,47004,47D004B,NICOLE,PECH DE BERRE EST,47190,NICOLE,vol,Décollage,parapente;delta,44.3248,0.3477,106,NA,0,0,0,E,E,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=165,NA,0,"Attention décollage ""falaise"". Ligne électrique. Faire attention pendant la période de chasse à la Palombe au mois d'octobre.",NA,NA,.,NA,2020-03-30 15:59:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
